denominazione;latitudine;longitudine;ELETTORI;VOTANTI;NUMVOTISI;NUMVOTINO
Agrate Brianza;45.5755478;9.351072;11565;8867;4317;4493
Aicurzio;45.6413289;9.4161645;1641;1293;637;643
Albiate;45.657385;9.2527452;4791;3756;1636;2087
Arcore;45.6269398;9.3265163;13746;10532;4821;5633
Barlassina;45.6565615;9.1298828;5290;3886;1739;2117
Bellusco;45.6161623;9.4232643;5669;4375;2001;2344
Bernareggio;45.6444816;9.4034081;8332;6161;2887;3237
Besana in Brianza;45.7003042;9.2922411;12233;9324;4299;4955
Biassono;45.630963;9.2753024;9683;7645;3364;4230
Bovisio-Masciago;45.6106468;9.1476559;12848;9688;4106;5511
Briosco;45.7091544;9.2397104;4950;3852;1697;2127
Brugherio;45.5527422;9.301822;26233;20087;9022;10925
Burago di Molgora;45.5963667;9.378351;3385;2685;1342;1324
Busnago;45.6165417;9.4645648;5066;3744;1591;2126
Camparada;45.6542446;9.3228228;1625;1290;581;702
Caponago;45.565801;9.375702;3986;2999;1318;1657
Carate Brianza;45.6759513;9.2429865;13847;10493;4906;5509
Carnate;45.6507624;9.379103;5485;4259;2199;2025
Cavenago di Brianza;45.5809965;9.4136515;5441;4083;1799;2257
Ceriano Laghetto;45.6272069;9.0808576;5130;3921;1682;2210
Cesano Maderno;45.628255;9.1464259;29067;21300;8444;12707
Cogliate;45.644515;9.0820367;6813;5006;2086;2878
Concorezzo;45.5905174;9.3366411;11871;9160;4417;4683
Cornate d'Adda;45.6499134;9.4623632;8118;6082;2750;3287
Correzzana;45.6659393;9.3033229;2221;1721;715;995
Desio;45.6216326;9.2087527;31632;23682;9588;13898
Giussano;45.6997614;9.2093782;19961;14968;5995;8876
Lazzate;45.67201;9.085848;6263;4704;1883;2785
Lentate sul Seveso;45.6783852;9.1218297;12532;9323;4029;5219
Lesmo;45.6500034;9.3066282;6499;5014;2144;2839
Limbiate;45.6000313;9.1220146;26277;18452;7368;10952
Lissone;45.6108915;9.2385715;34296;25427;10760;14514
Macherio;45.63852;9.2656272;5796;4396;1851;2530
Meda;45.6599649;9.1544583;18206;13800;5892;7795
Mezzago;45.6305303;9.4438497;3206;2442;1136;1286
Misinto;45.6628573;9.0822784;4429;3338;1377;1932
Monza;45.5840057;9.2730143;90842;68193;34163;33646
Muggiò;45.5929507;9.2265162;18226;13904;5998;7818
Nova Milanese;45.5892407;9.2003496;17578;13231;5673;7471
Ornago;45.5965913;9.4195663;3865;2922;1365;1534
Renate;45.7264493;9.2822301;3165;2424;1192;1210
Roncello;45.6024061;9.4574781;3327;2430;941;1467
Ronco Briantino;45.6666016;9.4039105;2714;2123;1018;1089
Seregno;45.6510895;9.2048414;35065;25854;11020;14642
Seveso;45.6435957;9.1376246;17920;13377;5388;7883
Sovico;45.6449061;9.2607913;6433;5021;2218;2758
Sulbiate;45.6332566;9.4184494;3261;2474;1143;1308
Triuggio;45.661777;9.2685012;6923;5360;2470;2854
Usmate Velate;45.6508404;9.362482;7774;6009;2814;3146
Varedo;45.597852;9.16043;10523;8207;3796;4357
Vedano al Lambro;45.6070292;9.2683696;5931;4684;2372;2286
Veduggio con Colzano;45.7349259;9.2733493;3417;2608;1146;1433
Verano Brianza;45.685355;9.229899;7280;5618;2399;3187
Villasanta;45.6055555;9.3033668;10977;8460;3938;4463
Vimercate;45.614008;9.3712627;20022;15792;8266;7429
